DATE,NYUR
1/1/76,10.3
2/1/76,10.3
3/1/76,10.2
4/1/76,10.2
5/1/76,10.2
6/1/76,10.2
7/1/76,10.2
8/1/76,10.2
9/1/76,10.2
10/1/76,10.2
11/1/76,10.2
12/1/76,10.1
1/1/77,10
2/1/77,9.9
3/1/77,9.7
4/1/77,9.5
5/1/77,9.3
6/1/77,9.1
7/1/77,9
8/1/77,8.8
9/1/77,8.7
10/1/77,8.6
11/1/77,8.5
12/1/77,8.4
1/1/78,8.3
2/1/78,8.1
3/1/78,8
4/1/78,7.9
5/1/78,7.9
6/1/78,7.8
7/1/78,7.7
8/1/78,7.6
9/1/78,7.6
10/1/78,7.5
11/1/78,7.4
12/1/78,7.3
1/1/79,7.2
2/1/79,7.1
3/1/79,7.1
4/1/79,7
5/1/79,7.1
6/1/79,7.1
7/1/79,7.2
8/1/79,7.2
9/1/79,7.3
10/1/79,7.3
11/1/79,7.3
12/1/79,7.2
1/1/80,7.2
2/1/80,7.2
3/1/80,7.3
4/1/80,7.4
5/1/80,7.5
6/1/80,7.6
7/1/80,7.7
8/1/80,7.6
9/1/80,7.6
10/1/80,7.5
11/1/80,7.6
12/1/80,7.6
1/1/81,7.7
2/1/81,7.7
3/1/81,7.7
4/1/81,7.7
5/1/81,7.6
6/1/81,7.5
7/1/81,7.4
8/1/81,7.4
9/1/81,7.4
10/1/81,7.5
11/1/81,7.6
12/1/81,7.8
1/1/82,7.9
2/1/82,8
3/1/82,8.1
4/1/82,8.2
5/1/82,8.2
6/1/82,8.3
7/1/82,8.4
8/1/82,8.5
9/1/82,8.7
10/1/82,8.9
11/1/82,9.1
12/1/82,9.2
1/1/83,9.3
2/1/83,9.3
3/1/83,9.2
4/1/83,9.2
5/1/83,9.1
6/1/83,8.9
7/1/83,8.7
8/1/83,8.5
9/1/83,8.3
10/1/83,8.1
11/1/83,7.9
12/1/83,7.7
1/1/84,7.5
2/1/84,7.3
3/1/84,7.2
4/1/84,7.2
5/1/84,7.2
6/1/84,7.2
7/1/84,7.2
8/1/84,7.2
9/1/84,7.2
10/1/84,7.1
11/1/84,7
12/1/84,6.8
1/1/85,6.8
2/1/85,6.8
3/1/85,6.8
4/1/85,6.7
5/1/85,6.7
6/1/85,6.6
7/1/85,6.6
8/1/85,6.5
9/1/85,6.5
10/1/85,6.4
11/1/85,6.4
12/1/85,6.5
1/1/86,6.5
2/1/86,6.6
3/1/86,6.6
4/1/86,6.6
5/1/86,6.6
6/1/86,6.5
7/1/86,6.3
8/1/86,6.1
9/1/86,5.9
10/1/86,5.8
11/1/86,5.7
12/1/86,5.5
1/1/87,5.4
2/1/87,5.3
3/1/87,5.1
4/1/87,5
5/1/87,4.9
6/1/87,4.8
7/1/87,4.8
8/1/87,4.7
9/1/87,4.7
10/1/87,4.7
11/1/87,4.6
12/1/87,4.5
1/1/88,4.3
2/1/88,4.2
3/1/88,4
4/1/88,4
5/1/88,4
6/1/88,4.1
7/1/88,4.2
