,Date,NY Unemployment Rate
0,1/1/76,10.3
1,2/1/76,10.3
2,3/1/76,10.2
3,4/1/76,10.2
4,5/1/76,10.2
5,6/1/76,10.2
6,7/1/76,10.2
7,8/1/76,10.2
8,9/1/76,10.2
9,10/1/76,10.2
10,11/1/76,10.2
11,12/1/76,10.1
12,1/1/77,10.0
13,2/1/77,9.9
14,3/1/77,9.7
15,4/1/77,9.5
16,5/1/77,9.3
17,6/1/77,9.1
18,7/1/77,9.0
19,8/1/77,8.8
20,9/1/77,8.7
21,10/1/77,8.6
22,11/1/77,8.5
23,12/1/77,8.4
24,1/1/78,8.3
25,2/1/78,8.1
26,3/1/78,8.0
27,4/1/78,7.9
28,5/1/78,7.9
29,6/1/78,7.8
30,7/1/78,7.7
31,8/1/78,7.6
32,9/1/78,7.6
33,10/1/78,7.5
34,11/1/78,7.4
35,12/1/78,7.3
36,1/1/79,7.2
37,2/1/79,7.1
38,3/1/79,7.1
39,4/1/79,7.0
40,5/1/79,7.1
41,6/1/79,7.1
42,7/1/79,7.2
43,8/1/79,7.2
44,9/1/79,7.3
45,10/1/79,7.3
46,11/1/79,7.3
47,12/1/79,7.2
48,1/1/80,7.2
49,2/1/80,7.2
50,3/1/80,7.3
51,4/1/80,7.4
52,5/1/80,7.5
53,6/1/80,7.6
54,7/1/80,7.7
55,8/1/80,7.6
56,9/1/80,7.6
57,10/1/80,7.5
58,11/1/80,7.6
59,12/1/80,7.6
60,1/1/81,7.7
61,2/1/81,7.7
62,3/1/81,7.7
63,4/1/81,7.7
64,5/1/81,7.6
65,6/1/81,7.5
66,7/1/81,7.4
67,8/1/81,7.4
68,9/1/81,7.4
69,10/1/81,7.5
70,11/1/81,7.6
71,12/1/81,7.8
72,1/1/82,7.9
73,2/1/82,8.0
74,3/1/82,8.1
75,4/1/82,8.2
76,5/1/82,8.2
77,6/1/82,8.3
78,7/1/82,8.4
79,8/1/82,8.5
80,9/1/82,8.7
81,10/1/82,8.9
82,11/1/82,9.1
83,12/1/82,9.2
84,1/1/83,9.3
85,2/1/83,9.3
86,3/1/83,9.2
87,4/1/83,9.2
88,5/1/83,9.1
89,6/1/83,8.9
90,7/1/83,8.7
91,8/1/83,8.5
92,9/1/83,8.3
93,10/1/83,8.1
94,11/1/83,7.9
95,12/1/83,7.7
96,1/1/84,7.5
97,2/1/84,7.3
98,3/1/84,7.2
99,4/1/84,7.2
100,5/1/84,7.2
101,6/1/84,7.2
102,7/1/84,7.2
103,8/1/84,7.2
104,9/1/84,7.2
105,10/1/84,7.1
106,11/1/84,7.0
107,12/1/84,6.8
108,1/1/85,6.8
109,2/1/85,6.8
110,3/1/85,6.8
111,4/1/85,6.7
112,5/1/85,6.7
113,6/1/85,6.6
114,7/1/85,6.6
115,8/1/85,6.5
116,9/1/85,6.5
117,10/1/85,6.4
118,11/1/85,6.4
119,12/1/85,6.5
120,1/1/86,6.5
121,2/1/86,6.6
122,3/1/86,6.6
123,4/1/86,6.6
124,5/1/86,6.6
125,6/1/86,6.5
126,7/1/86,6.3
127,8/1/86,6.1
128,9/1/86,5.9
129,10/1/86,5.8
130,11/1/86,5.7
131,12/1/86,5.5
132,1/1/87,5.4
133,2/1/87,5.3
134,3/1/87,5.1
135,4/1/87,5.0
136,5/1/87,4.9
137,6/1/87,4.8
138,7/1/87,4.8
139,8/1/87,4.7
140,9/1/87,4.7
141,10/1/87,4.7
142,11/1/87,4.6
143,12/1/87,4.5
144,1/1/88,4.3
145,2/1/88,4.2
146,3/1/88,4.0
147,4/1/88,4.0
148,5/1/88,4.0
149,6/1/88,4.1
150,7/1/88,4.2
151,8/1/88,4.3
152,9/1/88,4.5
153,10/1/88,4.6
154,11/1/88,4.6
155,12/1/88,4.6
156,1/1/89,4.7
157,2/1/89,4.7
158,3/1/89,4.8
159,4/1/89,4.9
160,5/1/89,4.9
